state,year,month,collection_centres,estimated_generation,estimated_collected,collection_percentage,recycling_efficiency_score,growth_rate,demand_level,priority_level
Andaman and Nicobar Islands,2018,12,32,540.87,110.9,20.51,20.5,512.68,Low,High
Andaman and Nicobar Islands,2019,12,32,934.18,209.64,22.44,22.44,72.72,Medium,Medium
Andaman and Nicobar Islands,2020,12,32,605.56,168.46,27.82,27.82,-35.18,Low,Low
Andaman and Nicobar Islands,2021,12,32,1210.24,286.32,23.66,23.66,99.85,Medium,Medium
Andaman and Nicobar Islands,2022,12,32,2863.46,760.02,26.54,26.54,136.6,Medium,Medium
Andaman and Nicobar Islands,2023,12,32,397.29,103.69,26.1,26.1,-86.13,Low,Medium
Andaman and Nicobar Islands,2024,12,32,4157.42,1067.74,25.68,25.68,946.44,High,Medium
Andhra Pradesh,2017,1,56,1558.13,152.53,9.79,9.79,0.0,Medium,High
Andhra Pradesh,2018,1,56,1670.88,356.35,21.33,21.33,7.24,Medium,High
Andhra Pradesh,2019,1,56,981.37,202.28,20.61,20.61,-41.27,Medium,High
Andhra Pradesh,2020,1,56,2164.12,522.49,24.14,24.14,120.52,Medium,Medium
Andhra Pradesh,2021,1,56,79.29,21.0,26.48,26.49,-96.34,Low,Medium
Andhra Pradesh,2022,1,56,392.44,102.05,26.0,26.0,394.94,Low,Medium
Andhra Pradesh,2023,1,56,6143.33,1672.11,27.22,27.22,1465.42,High,Low
Andhra Pradesh,2024,1,56,1357.59,358.29,26.39,26.39,-77.9,Medium,Medium
Andhra Pradesh,2017,2,56,183.51,17.75,9.67,9.67,0.0,Low,High
Andhra Pradesh,2018,2,56,698.32,145.95,20.9,20.9,280.54,Low,High
Andhra Pradesh,2019,2,56,1869.41,410.63,21.97,21.97,167.7,Medium,Medium
Andhra Pradesh,2020,2,56,1727.42,441.5,25.56,25.56,-7.6,Medium,Medium
Andhra Pradesh,2021,2,56,5950.1,1624.58,27.3,27.3,244.45,High,Low
Andhra Pradesh,2022,2,56,717.84,168.53,23.48,23.48,-87.94,Medium,Medium
Andhra Pradesh,2023,2,56,2054.46,510.21,24.83,24.83,186.2,Medium,Medium
Andhra Pradesh,2024,2,56,2078.01,568.23,27.34,27.34,1.15,Medium,Low
Andhra Pradesh,2017,3,56,567.09,58.5,10.32,10.32,0.0,Low,High
Andhra Pradesh,2018,3,56,96.67,21.98,22.73,22.74,-82.95,Low,Medium
Andhra Pradesh,2019,3,56,2597.15,609.8,23.48,23.48,2586.61,Medium,Medium
Andhra Pradesh,2020,3,56,988.35,254.59,25.76,25.76,-61.94,Medium,Medium
Andhra Pradesh,2021,3,56,258.51,70.64,27.33,27.33,-73.84,Low,Low
Andhra Pradesh,2022,3,56,7342.7,1928.62,26.27,26.27,2740.39,High,Medium
Andhra Pradesh,2023,3,56,3553.6,913.07,25.69,25.69,-51.6,Medium,Medium
Andhra Pradesh,2024,3,56,2390.07,632.92,26.48,26.48,-32.74,Medium,Medium
Andhra Pradesh,2017,4,56,1022.36,100.92,9.87,9.87,0.0,Medium,High
Andhra Pradesh,2018,4,56,367.97,76.88,20.89,20.89,-64.01,Low,High
Andhra Pradesh,2019,4,56,3480.26,797.11,22.9,22.9,845.8,Medium,Medium
Andhra Pradesh,2020,4,56,460.65,113.74,24.69,24.69,-86.76,Low,Medium
Andhra Pradesh,2021,4,56,664.74,194.16,29.21,29.21,44.3,Low,Low
Andhra Pradesh,2022,4,56,2806.09,789.18,28.12,28.12,322.13,Medium,Low
Andhra Pradesh,2023,4,56,4011.27,1123.89,28.02,28.02,42.95,High,Low
Andhra Pradesh,2024,4,56,3956.91,1047.91,26.48,26.48,-1.36,Medium,Medium
Andhra Pradesh,2017,5,56,1970.99,195.36,9.91,9.91,0.0,Medium,High
Andhra Pradesh,2018,5,56,922.15,202.01,21.91,21.91,-53.21,Medium,Medium
Andhra Pradesh,2019,5,56,724.76,167.92,23.17,23.17,-21.41,Medium,Medium
Andhra Pradesh,2020,5,56,727.44,187.3,25.75,25.75,0.37,Medium,Medium
Andhra Pradesh,2021,5,56,1315.24,337.07,25.63,25.63,80.8,Medium,Medium
Andhra Pradesh,2022,5,56,2218.37,587.37,26.48,26.48,68.67,Medium,Medium
Andhra Pradesh,2023,5,56,1816.54,452.91,24.93,24.93,-18.11,Medium,Medium
Andhra Pradesh,2024,5,56,3355.05,928.82,27.68,27.68,84.69,Medium,Low
Andhra Pradesh,2017,6,56,607.6,58.0,9.55,9.55,0.0,Low,High
Andhra Pradesh,2018,6,56,2674.4,569.84,21.31,21.31,340.16,Medium,High
Andhra Pradesh,2019,6,56,442.07,92.44,20.91,20.91,-83.47,Low,High
Andhra Pradesh,2020,6,56,723.13,177.58,24.56,24.56,63.58,Medium,Medium
Andhra Pradesh,2021,6,56,4932.01,1287.25,26.1,26.1,582.04,High,Medium
Andhra Pradesh,2022,6,56,2324.12,580.12,24.96,24.96,-52.88,Medium,Medium
Andhra Pradesh,2023,6,56,1538.65,431.93,28.07,28.07,-33.8,Medium,Low
Andhra Pradesh,2024,6,56,3930.33,1012.5,25.76,25.76,155.44,Medium,Medium
Andhra Pradesh,2017,7,56,1448.11,137.71,9.51,9.51,0.0,Medium,High
Andhra Pradesh,2018,7,56,1627.19,363.7,22.35,22.35,12.37,Medium,Medium
Andhra Pradesh,2019,7,56,223.64,45.62,20.4,20.4,-86.26,Low,High
Andhra Pradesh,2020,7,56,1991.4,526.11,26.42,26.42,790.45,Medium,Medium
Andhra Pradesh,2021,7,56,6039.36,1553.44,25.72,25.72,203.27,High,Medium
Andhra Pradesh,2022,7,56,5076.46,1331.75,26.23,26.23,-15.94,High,Medium
Andhra Pradesh,2023,7,56,960.85,256.07,26.65,26.65,-81.07,Medium,Medium
Andhra Pradesh,2024,7,56,4547.41,1208.28,26.57,26.57,373.27,High,Medium
Andhra Pradesh,2017,8,56,2546.94,242.88,9.54,9.54,0.0,Medium,High
Andhra Pradesh,2018,8,56,71.82,15.94,22.19,22.19,-97.18,Low,Medium
Andhra Pradesh,2019,8,56,3768.22,803.58,21.33,21.33,5146.76,Medium,High
Andhra Pradesh,2020,8,56,561.79,142.75,25.41,25.41,-85.09,Low,Medium
Andhra Pradesh,2021,8,56,4302.4,1064.14,24.73,24.73,665.84,High,Medium
Andhra Pradesh,2022,8,56,1780.46,491.97,27.63,27.63,-58.62,Medium,Low
Andhra Pradesh,2023,8,56,1498.07,374.75,25.02,25.02,-15.86,Medium,Medium
Andhra Pradesh,2024,8,56,3545.45,915.88,25.83,25.83,136.67,Medium,Medium
Andhra Pradesh,2017,9,56,1495.25,148.62,9.94,9.94,0.0,Medium,High
Andhra Pradesh,2018,9,56,214.82,49.32,22.96,22.96,-85.63,Low,Medium
Andhra Pradesh,2019,9,56,1743.9,375.28,21.52,21.52,711.8,Medium,High
Andhra Pradesh,2020,9,56,2350.48,605.37,25.76,25.76,34.78,Medium,Medium
Andhra Pradesh,2021,9,56,916.37,269.12,29.37,29.37,-61.01,Medium,Low
Andhra Pradesh,2022,9,56,2289.2,631.08,27.57,27.57,149.81,Medium,Low
Andhra Pradesh,2023,9,56,1642.42,436.11,26.55,26.55,-28.25,Medium,Medium
Andhra Pradesh,2024,9,56,3473.37,898.53,25.87,25.87,111.48,Medium,Medium
Andhra Pradesh,2017,10,56,838.68,80.03,9.54,9.54,0.0,Medium,High
Andhra Pradesh,2018,10,56,1975.82,420.29,21.27,21.27,135.59,Medium,High
Andhra Pradesh,2019,10,56,504.96,114.29,22.63,22.63,-74.44,Low,Medium
Andhra Pradesh,2020,10,56,7907.57,2280.64,28.84,28.84,1465.98,High,Low
Andhra Pradesh,2021,10,56,1665.28,421.51,25.31,25.31,-78.94,Medium,Medium
Andhra Pradesh,2022,10,56,663.02,160.97,24.28,24.28,-60.19,Low,Medium
Andhra Pradesh,2023,10,56,5734.18,1547.71,26.99,26.99,764.86,High,Low
Andhra Pradesh,2024,10,56,2963.14,771.45,26.03,26.03,-48.32,Medium,Medium
Andhra Pradesh,2017,11,56,1297.13,128.26,9.89,9.89,0.0,Medium,High
Andhra Pradesh,2018,11,56,1431.49,308.26,21.53,21.53,10.36,Medium,High
Andhra Pradesh,2019,11,56,1537.72,302.07,19.64,19.64,7.42,Medium,High
Andhra Pradesh,2020,11,56,5274.79,1273.47,24.14,24.14,243.03,High,Medium
Andhra Pradesh,2021,11,56,3682.27,953.17,25.89,25.89,-30.19,Medium,Medium
Andhra Pradesh,2022,11,56,4052.4,1062.24,26.21,26.21,10.05,High,Medium
Andhra Pradesh,2023,11,56,2149.2,570.39,26.54,26.54,-46.96,Medium,Medium
Andhra Pradesh,2024,11,56,949.01,253.74,26.74,26.74,-55.84,Medium,Low
Andhra Pradesh,2017,12,56,592.74,63.77,10.76,10.76,0.0,Low,High
Andhra Pradesh,2018,12,56,3628.84,753.35,20.76,20.76,512.21,Medium,High
Andhra Pradesh,2019,12,56,2367.93,547.02,23.1,23.1,-34.75,Medium,Medium
Andhra Pradesh,2020,12,56,1976.07,540.09,27.33,27.33,-16.55,Medium,Low
Andhra Pradesh,2021,12,56,2126.3,611.57,28.76,28.76,7.6,Medium,Low
Andhra Pradesh,2022,12,56,2427.55,615.59,25.36,25.36,14.17,Medium,Medium
Andhra Pradesh,2023,12,56,3822.36,906.6,23.72,23.72,57.46,Medium,Medium
Andhra Pradesh,2024,12,56,5212.87,1345.47,25.81,25.81,36.38,High,Medium
Arunachal Pradesh,2017,1,20,530.63,55.69,10.49,10.5,0.0,Low,High
Arunachal Pradesh,2018,1,20,445.86,97.09,21.78,21.78,-15.98,Low,Medium
Arunachal Pradesh,2019,1,20,195.45,41.36,21.16,21.16,-56.16,Low,High
Arunachal Pradesh,2020,1,20,833.93,209.69,25.15,25.14,326.67,Medium,Medium
Arunachal Pradesh,2021,1,20,460.43,123.73,26.87,26.87,-44.79,Low,Low
Arunachal Pradesh,2022,1,20,2153.28,582.8,27.07,27.07,367.67,Medium,Low
Arunachal Pradesh,2023,1,20,982.54,274.02,27.89,27.89,-54.37,Medium,Low
Arunachal Pradesh,2024,1,20,920.62,227.43,24.7,24.7,-6.3,Medium,Medium
Arunachal Pradesh,2017,2,20,331.29,32.03,9.67,9.67,0.0,Low,High
Arunachal Pradesh,2018,2,20,173.05,36.37,21.02,21.02,-47.76,Low,High
Arunachal Pradesh,2019,2,20,177.02,38.06,21.5,21.5,2.29,Low,High
Arunachal Pradesh,2020,2,20,813.06,209.55,25.77,25.77,359.3,Medium,Medium
Arunachal Pradesh,2021,2,20,695.11,191.6,27.56,27.56,-14.51,Low,Low
Arunachal Pradesh,2022,2,20,935.75,235.06,25.12,25.12,34.62,Medium,Medium
Arunachal Pradesh,2023,2,20,260.98,66.43,25.45,25.45,-72.11,Low,Medium
Arunachal Pradesh,2024,2,20,654.41,175.02,26.75,26.74,150.75,Low,Low
Arunachal Pradesh,2017,3,20,306.42,30.06,9.81,9.81,0.0,Low,High
Arunachal Pradesh,2018,3,20,802.9,166.22,20.7,20.7,162.03,Medium,High
Arunachal Pradesh,2019,3,20,506.84,116.89,23.06,23.06,-36.87,Low,Medium
Arunachal Pradesh,2020,3,20,170.82,43.3,25.35,25.35,-66.3,Low,Medium
Arunachal Pradesh,2021,3,20,240.79,59.92,24.89,24.88,40.96,Low,Medium
Arunachal Pradesh,2022,3,20,277.38,68.9,24.84,24.84,15.2,Low,Medium
Arunachal Pradesh,2023,3,20,384.37,96.02,24.98,24.98,38.57,Low,Medium
Arunachal Pradesh,2024,3,20,1961.19,532.56,27.16,27.15,410.23,Medium,Low
Arunachal Pradesh,2017,4,20,306.43,27.83,9.08,9.08,0.0,Low,High
Arunachal Pradesh,2018,4,20,144.68,31.95,22.08,22.08,-52.79,Low,Medium
Arunachal Pradesh,2019,4,20,1070.32,239.92,22.42,22.42,639.78,Medium,Medium
Arunachal Pradesh,2020,4,20,473.52,113.2,23.91,23.91,-55.76,Low,Medium
Arunachal Pradesh,2021,4,20,1177.27,291.68,24.78,24.78,148.62,Medium,Medium
Arunachal Pradesh,2022,4,20,1152.99,309.9,26.88,26.88,-2.06,Medium,Low
Arunachal Pradesh,2023,4,20,939.65,255.89,27.23,27.23,-18.5,Medium,Low
Arunachal Pradesh,2024,4,20,1250.62,325.41,26.02,26.02,33.09,Medium,Medium
Arunachal Pradesh,2017,5,20,1030.74,98.04,9.51,9.51,0.0,Medium,High
Arunachal Pradesh,2018,5,20,127.81,28.8,22.53,22.53,-87.6,Low,Medium
Arunachal Pradesh,2019,5,20,700.74,150.44,21.47,21.47,448.27,Low,High
Arunachal Pradesh,2020,5,20,588.46,157.95,26.84,26.84,-16.02,Low,Low
Arunachal Pradesh,2021,5,20,495.35,134.83,27.22,27.22,-15.82,Low,Low
Arunachal Pradesh,2022,5,20,1288.85,334.48,25.95,25.95,160.19,Medium,Medium
Arunachal Pradesh,2023,5,20,874.35,226.05,25.85,25.85,-32.16,Medium,Medium
Arunachal Pradesh,2024,5,20,694.82,192.09,27.65,27.65,-20.53,Low,Low
Arunachal Pradesh,2017,6,20,635.49,62.48,9.83,9.83,0.0,Low,High
Arunachal Pradesh,2018,6,20,522.81,117.24,22.43,22.42,-17.73,Low,Medium
Arunachal Pradesh,2019,6,20,1462.25,330.75,22.62,22.62,179.69,Medium,Medium
Arunachal Pradesh,2020,6,20,900.39,237.2,26.34,26.34,-38.42,Medium,Medium
Arunachal Pradesh,2021,6,20,3066.02,825.41,26.92,26.92,240.52,Medium,Low
Arunachal Pradesh,2022,6,20,896.88,243.78,27.18,27.18,-70.75,Medium,Low
Arunachal Pradesh,2023,6,20,292.82,78.93,26.96,26.96,-67.35,Low,Low
Arunachal Pradesh,2024,6,20,131.14,31.27,23.84,23.84,-55.21,Low,Medium
Arunachal Pradesh,2017,7,20,250.73,23.11,9.22,9.22,0.0,Low,High
Arunachal Pradesh,2018,7,20,760.54,156.13,20.53,20.53,203.33,Medium,High
Arunachal Pradesh,2019,7,20,18.17,4.03,22.16,22.18,-97.61,Low,Medium
Arunachal Pradesh,2020,7,20,811.0,214.05,26.39,26.39,4363.4,Medium,Medium
Arunachal Pradesh,2021,7,20,567.07,152.31,26.86,26.86,-30.08,Low,Low
Arunachal Pradesh,2022,7,20,543.88,146.12,26.87,26.87,-4.09,Low,Low
Arunachal Pradesh,2023,7,20,1751.93,460.53,26.29,26.29,222.12,Medium,Medium
Arunachal Pradesh,2024,7,20,1390.41,387.82,27.89,27.89,-20.64,Medium,Low
Arunachal Pradesh,2017,8,20,547.5,54.54,9.96,9.96,0.0,Low,High
Arunachal Pradesh,2018,8,20,513.04,108.24,21.1,21.1,-6.29,Low,High
Arunachal Pradesh,2019,8,20,955.12,220.84,23.12,23.12,86.17,Medium,Medium
Arunachal Pradesh,2020,8,20,630.74,152.86,24.24,24.24,-33.96,Low,Medium
Arunachal Pradesh,2021,8,20,860.79,232.3,26.99,26.99,36.47,Medium,Low
Arunachal Pradesh,2022,8,20,345.78,90.42,26.15,26.15,-59.83,Low,Medium
Arunachal Pradesh,2023,8,20,1721.09,423.29,24.59,24.59,397.74,Medium,Medium
Arunachal Pradesh,2024,8,20,607.57,149.49,24.6,24.6,-64.7,Low,Medium
Arunachal Pradesh,2017,9,20,443.13,42.03,9.48,9.48,0.0,Low,High
Arunachal Pradesh,2018,9,20,411.38,89.61,21.78,21.78,-7.16,Low,Medium
Arunachal Pradesh,2019,9,20,573.17,121.96,21.28,21.28,39.33,Low,High
Arunachal Pradesh,2020,9,20,85.88,23.34,27.17,27.18,-85.02,Low,Low
Arunachal Pradesh,2021,9,20,1978.89,507.1,25.63,25.63,2204.25,Medium,Medium
Arunachal Pradesh,2022,9,20,623.14,156.62,25.13,25.13,-68.51,Low,Medium
Arunachal Pradesh,2023,9,20,1215.96,334.29,27.49,27.49,95.13,Medium,Low
Arunachal Pradesh,2024,9,20,1103.32,263.73,23.9,23.9,-9.26,Medium,Medium
Arunachal Pradesh,2017,10,20,47.86,4.61,9.64,9.63,0.0,Low,High
Arunachal Pradesh,2018,10,20,353.43,79.43,22.47,22.47,638.47,Low,Medium
Arunachal Pradesh,2019,10,20,421.35,91.4,21.69,21.69,19.22,Low,Medium
Arunachal Pradesh,2020,10,20,654.92,154.63,23.61,23.61,55.43,Low,Medium
Arunachal Pradesh,2021,10,20,354.6,95.16,26.84,26.84,-45.86,Low,Low
Arunachal Pradesh,2022,10,20,852.65,206.83,24.26,24.26,140.45,Medium,Medium
Arunachal Pradesh,2023,10,20,1214.92,321.34,26.45,26.45,42.49,Medium,Medium
Arunachal Pradesh,2024,10,20,1744.07,440.12,25.23,25.24,43.55,Medium,Medium
Arunachal Pradesh,2017,11,20,148.8,14.11,9.48,9.48,0.0,Low,High
Arunachal Pradesh,2018,11,20,308.15,64.45,20.91,20.92,107.09,Low,High
Arunachal Pradesh,2019,11,20,450.03,97.3,21.62,21.62,46.04,Low,High
Arunachal Pradesh,2020,11,20,700.23,183.0,26.13,26.13,55.6,Low,Medium
Arunachal Pradesh,2021,11,20,223.55,60.17,26.92,26.92,-68.07,Low,Low
Arunachal Pradesh,2022,11,20,668.58,171.55,25.66,25.66,199.07,Low,Medium
Arunachal Pradesh,2023,11,20,1215.97,329.74,27.12,27.12,81.87,Medium,Low
Arunachal Pradesh,2024,11,20,2211.74,617.7,27.93,27.93,81.89,Medium,Low
Arunachal Pradesh,2017,12,20,466.89,49.88,10.68,10.68,0.0,Low,High
Arunachal Pradesh,2018,12,20,929.34,197.29,21.23,21.23,99.05,Medium,High
Arunachal Pradesh,2019,12,20,698.61,142.79,20.44,20.44,-24.83,Low,High
Arunachal Pradesh,2020,12,20,2927.47,824.68,28.17,28.17,319.04,Medium,Low
Arunachal Pradesh,2021,12,20,1284.37,328.54,25.58,25.58,-56.13,Medium,Medium
Arunachal Pradesh,2022,12,20,1721.78,471.22,27.37,27.37,34.06,Medium,Low
Arunachal Pradesh,2023,12,20,1618.61,417.65,25.8,25.8,-5.99,Medium,Medium
Arunachal Pradesh,2024,12,20,815.51,208.06,25.51,25.51,-49.62,Medium,Medium
Assam,2017,1,92,2802.96,275.5,9.83,9.83,0.0,Medium,High
Assam,2018,1,92,1668.96,376.88,22.58,22.58,-40.46,Medium,Medium
Assam,2019,1,92,1419.55,327.21,23.05,23.05,-14.94,Medium,Medium
Assam,2020,1,92,1044.07,300.86,28.82,28.82,-26.45,Medium,Low
Assam,2021,1,92,1085.09,307.78,28.36,28.36,3.93,Medium,Low
Assam,2022,1,92,8137.26,2170.11,26.67,26.67,649.92,High,Low
Assam,2023,1,92,2147.41,554.27,25.81,25.81,-73.61,Medium,Medium
Assam,2024,1,92,4448.68,1278.3,28.73,28.73,107.16,High,Low
Assam,2017,2,92,548.94,54.34,9.9,9.9,0.0,Low,High
Assam,2018,2,92,2808.4,641.51,22.84,22.84,411.6,Medium,Medium
Assam,2019,2,92,4564.46,1016.05,22.26,22.26,62.53,High,Medium
Assam,2020,2,92,6483.3,1726.92,26.64,26.64,42.04,High,Medium
